time, co2 ppm
2019-04-04 11:53:48.384645, 698
2019-04-04 11:53:49.388633, 698
2019-04-04 11:53:50.394160, 698
2019-04-04 11:53:51.401268, 697
2019-04-04 11:53:52.422402, 697
2019-04-04 11:53:53.427908, 697
